"reference","base_summary","finetuned_summary","original_text"
"My favorite tea!","I bought a bag of Freshpak Rooibos when I was in South Africa","Best Rooibos in South Africa","My husband and I did a safari in South Africa in August'09 and I had some rooibos experience here in the States but it was always mixed with something else.  Freshpak is what the South African's buy.  It has a great flavor and is cheap even here!  I picked up Lipton's Rooibos while in SA but I found I liked Freshpak much better.  That tea became my friend there as I did have a day of being under the weather, it made me feel better.  The people there swear by it.  A little honey, some lemon and you can drink it all day.  I brought tea for family and friends here but I haven't heard if they have even tried it....might have to steal it all back!  :)  Down to my last bags...need to buy more!"
"Is this really Sky *Line* ??","I have a box of frozen Skyline from the grocery, and a pack of this stuff (which is pretty good). The manufacturer on the back","Skyline, Inc.","I have a box of frozen Skyline from the grocery, and a pack of this stuff (which is pretty good.)  The manufacturer on the back is listed as ""SkyTime"" at ""4180 Thunderbird Lane, Fairfield, OH 45014"" which is ALSO the address of the real thing, ""Skyline, Inc.""<br /><br />So is this stuff really Skyline?  Why not advertise as such?  Oh well;  it's good and I can make my own low-fat variation my body tolerates."
"Could be fresher","Catnip needs to be carefully cultivated (I read) so that other plants do not creep into the field. Also, it must be fresh","Catnip has a narcotic effect on susceptible cats","Catnip needs to be carefully cultivated (I read) so that other plants do not creep into the field.  Also, it must be fresh to really get the cat to respond.  My beloved cat did not react as I expected; truly effective catnip has a narcotic effect on susceptible cats, putting them in a spell almost.  My cat could take or leave this catnip unless it was really laid on heavily."
"Dirty Cigarettes!","I rarely review anything with limited time...unless it's either really great or perfectly horrid...bustelo out of the can is without exception","Worst coffee I've ever had in my life","I rarely review anything with limited time...unless it's either really great or perfectly horrid. Bustelo out of the can is without exception, the very worst coffee I've ever had in my life. I sensed the flavor of dirt off a factory floor with a mild flavor of old dirty cigarettes. This was with filtered water (so no water issues). Maybe I got a bad can, but man, this was rough and acrid stuff. Your mileage may vary..."
"The best that I have tried.","Excellent taste and smell. The Callebaut smells like good chocolate with no hint of an acrid chemical smell. It has a","Excellent taste and smell","Excellent taste and smell.  The Callebaut smells like good chocolate with no hint of an acrid chemical smell.  I've noticed that smell in other (even more expensive) brands.  The taste is a beautifully rich and redolant of fine chocolate. It has a silk like mouth feel - no grit. It's the best cocoa powder in my experience."
"my favorite all purpose seasoning","I love this stuff - I wish it was available on amazon fresh in a 1 pack though - a bit much","Love this stuff","I LOVE this stuff - I wish it was available on amazon fresh in a 1 pack though - a 6 pack is a bit much.  I put this stuff on anything that needs salt and a bit of heat (pretty much anything for me) the balance is perfect in that when it's salty enough it's spicy enough too."
"delicious and fresh","I usually buy these at the mall as a treat to myself. They are a lot fresher in both taste and consistency than the ones you might","Fresher than the ones you might get at a candy store","I generally buy these at the mall as a treat to myself.<br />I broke down and bought the big bag.<br />So glad I did.<br />These are a lot fresher in both taste and consistency than the ones you might get at a candy store.<br />They even have a great smell- I didn't know they had an aroma.<br />I'm just hoping now that I will be able to ration myself and make them last a little while."
"Good product!","I haven't been using this as religiously as I had hoped, but so far, I am quite happy with this product. The taste","Great tea!","I admit, I haven't been using this as religiously as I had hoped, but so far, I am quite happy with this product.  The taste is very subtle, so if you like a stronger tea, you might want to add a small amount of sweetener.  I would purchase this again!"
"Excellent,cats love this food","Love this food!","My cats love this food!","just received my case of this food after reviewing many other types. I wanted something that was organic and healthy for my two cats,instead of taking them to the vet all the time..They absolutely LOVE this food,plenty of juice and meat. One 5.5 oz can feeds them both heartily and they lick the dish clean. I started them on an organic holistic dry food over a month ago and I see a big change in their coats,so shiny and soft. I believe that the added expense should keep them overall much healthier and happy..."
"Kitty loves this","My cat loves Merrick's!","My cat loves Merrick's!","Recently, I got as many varieties of Merrick's for my cat to try as I could. I usually feed him a custom raw chicken diet, but for travel or when friends are taking care of him that isn't practical. I used to use Wellness CORE dry and wet cat food but it was just getting too expensive. I was pleased when I found Merrick's, and love that it is made in Texas (my native state!).<br /><br />My cat did not experience any bowel problems with this food. His litter box did smell much worse than when he gets raw chicken, but that is easily fixed by cleaning. I do recommend researching how to switch your cat's food safely to avoid any possible digestive system issues such as diarrhea or vomiting.<br /><br />My cat LOVED the New England Boil. He leapt up on the counter when I opened it and nearly tripped me in his rush to his feeding spot. I fed him this mixed with the Wellness CORE to switch him over and he actually licked up all the Merrick's wet food immediately and searched around his feeding area (with his dish still containing Wellness CORE kibbles) and came begging over to me when he couldn't find any more wet food.<br />Five stars from kitty!<br /><br />I also rate this five stars. It is made here in Texas, and with real quality ingredients, I can feel good knowing my cat isn't eating meat flavored corn and wheat!"
